publication_number,title,claim1,label
US-7796261-B2,Spectrophotometer,"A spectrophotometer comprising:
a light source adapted to emit electromagnetic radiation;
a wavelength selection unit configured to receive said emitted electromagnetic radiation and to direct specific radiation of at least one predetermined wavelength toward a sample;
a sample chamber configured to hold a sample for interaction with the specific radiation;
a detector configured to detect radiation after interaction with the sample and to generate an electrical signal indicative of an intensity of the received radiation; and
a processing unit communicatively coupled to the detector, said processing unit configured to receive the electrical signal and to determine at least one optical characteristic of the sample from the electrical signal.",refine
US-6950897-B2,Method and apparatus for a dual mode PCI/PCI-X device,"1. A dual mode PCI/PCI-X device, comprising:
    a bus interface circuit configured to interface with a host bus and to support both PCI and PCI-X signaling protocols;
    a mode detection circuit coupled to the bus interface circuit, configured to ascertain whether the host bus operates according to a PCI standard or a PCI-X standard;
    a configuration circuit coupled to the mode detection circuit, configured to dynamically adjust device operating parameters to conform to the determined standard; and
    a bus transaction engine coupled to the bus interface circuit and the configuration circuit, configured to execute data transfers over the host bus in compliance with the adjusted operating parameters.",refine
US-8262787-B2,Configuration of contacting zones in vapor liquid contacting apparatuses,"1. A vapor-liquid contacting apparatus comprising:
    a vessel defining an internal volume;
    a vapor inlet for introducing vapor into said internal volume;
    a liquid inlet for introducing liquid into said internal volume;
    a vapor outlet for removing vapor from said internal volume;
    a liquid outlet for removing liquid from said internal volume;
    a plurality of distinct contacting zones situated within said internal volume, each distinct contacting zone designed to facilitate mass and/or heat transfer between vapor and liquid;
    wherein said plurality of distinct contacting zones includes at least a first type of contacting zone and a second type of contacting zone, said first type of contacting zone having a first vapor-liquid interaction characteristic, and said second type of contacting zone having a second, different vapor-liquid interaction characteristic;
    and wherein said first type of contacting zone and said second type of contacting zone are arranged in a pre-defined, non-uniform sequence along an axial direction of said internal volume, thereby establishing a particular configuration for vapor-liquid contacting within said apparatus.",refine
US-6974265-B2,Fiber optic modules with de-latching mechanisms having a pull-action,"A fiber optic module comprising:
a module housing;
an optical interface mounted on the module housing;
an electrical interface mounted on the module housing;
a latch arranged to secure the module within a host receptacle; and
a de-latching mechanism operably coupled to the latch, the de-latching mechanism including a pull member extending from the module housing, wherein the pull member is designed to actuate the de-latching mechanism when drawn away from the module housing to disengage the latch from the host receptacle.",refine
US-8616082-B2,"Control device for a gearbox, in particular for a motor-vehicle gearbox, with a system for identifying the engaged gear","A control device for a gearbox, comprising:
a control unit arranged to regulate an operation of the gearbox;
a gear identification system configured to determine an engaged gear within the gearbox; and
wherein the control unit is configured to employ data from the gear identification system to govern the operation of the gearbox.",refine
US-8500003-B2,Method and device for accessing microforms,"A device for accessing microforms, comprising:
a microform storage unit arranged to store a plurality of microforms;
a retrieval mechanism operatively coupled to the microform storage unit and adapted to selectively retrieve a microform therefrom;
an optical scanning unit disposed to receive a retrieved microform from said retrieval mechanism, said optical scanning unit adapted to digitally capture an image of the received microform;
a processing unit connected to the optical scanning unit, said processing unit configured to process the digitally captured image; and
a display unit linked to the processing unit, said display unit arranged to present the processed digital image for user viewing.",refine
US-6645409-B2,Process for the production of cellulosic fibres,"A method for the manufacture of cellulosic fibres, comprising:
obtaining a cellulosic raw material;
processing the cellulosic raw material to isolate or solubilize the cellulose;
formulating a fiber-forming composition containing the isolated or solubilized cellulose;
shaping the fiber-forming composition into one or more filaments; and
solidifying the one or more filaments to produce cellulosic fibres.",refine
US-7125604-B2,Insulated magnet wire,"An insulated magnet wire, comprising:
an elongated, electrically conductive conductor; and
at least one insulating layer concentrically positioned about said elongated, electrically conductive conductor; wherein said at least one insulating layer electrically isolates said conductor from an external environment.",refine
US-8613958-B2,Nitric oxide therapies,1. A method of addressing a disease in a subject in need thereof; the method comprising administering a therapeutically effective quantity of nitric oxide to the subject.,refine
US-7345135-B2,"Crosslinkable aromatic resin having protonic acid group, and ion conductive polymer membrane, binder and fuel cell using the resin","A crosslinkable aromatic resin, comprising:
at least one aromatic moiety;
a protic acid group; and
a reactive crosslinkable group.",refine
US-8089838-B2,Optical disc apparatus and tracking control method,"An optical disc apparatus, comprising:
a spindle motor arranged to rotate an optical disc;
an optical pickup unit including a light source, an objective lens, and a photodetector, said optical pickup unit configured to project a light beam onto said optical disc and sense a reflected light beam therefrom;
an actuator configured to move said objective lens radially with respect to said optical disc; and
a control unit interfaced with said photodetector and said actuator, said control unit configured to:
obtain a detection signal from said photodetector corresponding to said reflected light beam;
generate a tracking error signal derived from said detection signal, wherein said control unit is further configured to selectively process distinct spatial segments of said detection signal to enhance the signal-to-noise ratio of said tracking error signal, said tracking error signal reflecting a radial displacement of said light beam from a target track on said optical disc;
produce a tracking control signal based on said tracking error signal; and
transmit said tracking control signal to said actuator, thereby causing said actuator to modify a radial position of said objective lens to reduce said radial deviation.",refine
US-8082587-B2,Detecting content in files,"A system for identifying content within files, comprising:
a processor arranged to execute instructions;
a memory storing instructions that, when executed by the processor, cause the system to perform operations comprising:
obtaining a digital file;
analyzing data present in the obtained digital file to identify one or more content characteristics associated with a predefined content type;
generating an analysis result indicating a presence or absence of the one or more content characteristics within the digital file;
and outputting the analysis result.",refine
US-8238915-B2,Systems and methods for locating communication terminals in cellular networks,"A system for determining positions of communication terminals within a cellular network, the system comprising:
a plurality of communication terminals, each terminal configured to emit a wireless signal within said cellular network;
a plurality of base stations situated within the cellular network, each such base station configured to receive wireless signals from at least one of said communication terminals;
wherein each of said base stations is further configured to produce measurement data reflecting characteristics of the received wireless signal;
a network controller configured to acquire the measurement data from said plurality of base stations;
a location processor operatively connected to the network controller, said location processor configured for determining a geographic position of said at least one communication terminal utilizing the acquired measurement data; and
an output interface configured to present the computed geographic position of said at least one communication terminal.",refine
US-7226290-B2,"Portable aesthetic component comparison system, decorator design tool, retaining stud, and method","A portable aesthetic component evaluation system, comprising:
a portable housing;
a display integrated within the portable housing, the display operable to present visual representations of aesthetic components and design environments;
a processor disposed within the portable housing;
a memory disposed within the portable housing and storing processor-executable instructions and aesthetic component data;
an input device integrated into the portable housing, the input device adapted to receive user selections of aesthetic components and design parameters;
a communication interface disposed within the portable housing, the communication interface operable to access external sources of aesthetic component data;
a retaining stud selectively coupled to the portable housing, configured to temporarily secure a physical aesthetic component for digital capture or for contextual display alongside a digitally rendered aesthetic component;
wherein the processor, when executing the instructions from the memory, is configured to:
access aesthetic component data from the memory or through the communication interface;
receive user input through the input device to select a plurality of aesthetic components for comparative analysis;
generate a comparative visual display of the selected aesthetic components on the display;
and allow a user to interactively apply the selected aesthetic components to a rendered design environment shown on the display, thereby serving as a decorator design tool to assist in visualizing aesthetic compatibility and design alternatives.",refine
US-7891276-B2,System and method for controlling the length of a discrete segment of a continuous web of elastic material,"A system for controlling the length of an individual segment of a continuous strip of elastic material, the system comprising:
a material supply configured to furnish a continuous strip of elastic material;
a web advancing mechanism configured to draw the continuous strip of elastic material from the material supply;
a tension control unit configured to impart controlled tension to the continuous strip of elastic material during its advancement;
a length measurement unit configured to determine a length of the continuous strip of elastic material as it is advanced under said controlled tension;
a severing unit configured to sever the continuous strip of elastic material to create an individual segment; and
a controller operatively coupled to the web advancing mechanism, the tension control unit, the length measurement unit, and the severing unit, the controller configured to obtain length measurements from the length measurement unit, evaluate the obtained length measurements against a target segment length, and, responsive to said evaluation, actuate the severing unit to cut the continuous strip of elastic material when the measured length corresponds to the target segment length, thereby producing individual segments of predetermined length.",refine
US-7804286-B2,Multiple output amplifiers and comparators,"An apparatus comprising:
a multiple output amplifier operative to produce a plurality of amplifier output signals; and
at least one comparator configured to accept a first and a second comparator input signal, and further configured to generate a comparator output signal based on a comparison of the first comparator input signal and the second comparator input signal;
wherein at least one of the first or second comparator input signals is derived from at least one of the plurality of amplifier output signals.",refine
US-6782024-B2,High power semiconductor laser diode,"A high power semiconductor laser diode comprising:
a semiconductor substrate;
a broad area active region situated on the semiconductor substrate, configured to generate laser light;
a pair of cladding layers positioned adjacent to the broad area active region, configured for confining optical radiation and charge carriers within the broad area active region;
a pair of electrical contacts electrically connected to the broad area active region, configured to inject current therein;
a resonant optical cavity established by opposing facets of the semiconductor laser diode;
and a heat dissipation structure thermally connected to the semiconductor laser diode, configured to remove heat produced during operation.",refine
US-6541188-B2,Developer for alkaline-developable lithographic printing plates,"1. A developer composition intended for alkaline-developable lithographic printing plates, including:
water;
at least one alkaline agent in a quantity sufficient to achieve an alkaline pH for the composition; and
one or more surfactants.",refine
US-7170287-B2,Thin film magnetic sensor and method of manufacturing the same,"A thin-film magnetic sensor, comprising:
a substrate;
a magnetic sensing element situated on the substrate, said magnetic sensing element including at least one magnetic thin-film layer;
wherein the magnetic sensing element is adapted to show a change in an electrical characteristic when subjected to an external magnetic field; and
multiple electrical contacts electrically connected to the magnetic sensing element, these electrical contacts being arranged to enable measurement of said change in the electrical characteristic.",refine
US-7457291-B2,Method and apparatus for generating preamble using chaotic sequence,"A method for generating a preamble, comprising:
generating a chaotic sequence;
constructing a preamble signal derived from the generated chaotic sequence; and
transmitting the preamble signal for communication.",refine
US-8464617-B2,Hold and drive tool with disengagement capability,"1. A hold and drive tool with automated disengagement, comprising:
   a tool body;
   a driving member rotatably mounted within the tool body, said driving member adapted to receive and impart rotational force;
   a gripping member connected to the driving member, said gripping member adapted to engage and secure a workpiece for driving operations; and
   a disengagement mechanism functionally linked to the gripping member, said disengagement mechanism arranged to automatically disengage the gripping member from the workpiece when a predefined torque threshold is attained during a driving operation.",refine
US-8715573-B2,Fluidic system for a flow cytometer with temporal processing,"A fluidic system for a flow cytometer, comprising:
a sample fluid inlet for receiving a sample fluid containing particles;
a sheath fluid inlet for receiving a sheath fluid;
a plurality of fluidic channels in fluid communication with the sample fluid inlet and the sheath fluid inlet;
a flow cell having an interrogation region, the flow cell adapted to receive the sample fluid and the sheath fluid from the plurality of fluidic channels and hydrodynamically focus the sample fluid into a core stream surrounded by the sheath fluid within the interrogation region;
a plurality of fluidic control elements coupled to at least one of the plurality of fluidic channels, the fluidic control elements for modulating fluid flow within the at least one fluidic channel; and
a controller coupled to the plurality of fluidic control elements, the controller for receiving temporal information pertaining to fluid flow or particle presence within the fluidic system; and for processing the temporal information to generate control signals for the plurality of fluidic control elements to thereby achieve temporally modulated sample delivery to the interrogation region.",refine
US-6970826-B2,Method and system for order returns,"1.  A computer-implemented method for processing order returns, the method comprising:
    receiving, by a computing device, a digital return request from a customer, the digital return request linked to a prior order and including item identification data for at least one item from the order and a provided reason for return;
    determining, by the computing device, based on established return policies and the item identification data, the authorization status of the return request;
    upon authorization of the return request, generating, by the computing device, digital return instructions for the customer, the digital return instructions comprising a distinct return authorization number and a shipping label for returning the at least one item to a specified return location;
    monitoring, by the computing device, the status of the returned at least one item via said unique return authorization number;
    receiving, by the computing device, a digital confirmation of item receipt of the returned at least one item at the specified return location;
    subsequent to receiving the digital confirmation, ascertaining, by the computing device, the condition of the returned at least one item against established criteria; and
    contingent on said verification, triggering, by the computing device, a financial transaction for a refund or credit for the returned at least one item and updating an inventory record for the at least one item.",refine
US-7125371-B2,Adjustable bodyweight exercise apparatus,"An adjustable bodyweight exercise apparatus comprising:
a primary support frame adapted for placement on a surface or attachment to a structural element;
at least one user engagement component arranged for a user's grasp, support, or engagement, thereby supporting a portion or the entirety of the user's body weight during a bodyweight exercise;
an adjustment mechanism mechanically coupled to the primary support frame and the at least one user engagement component, whereby the adjustment mechanism selectively modifies the spatial position and/or angular orientation of the at least one user engagement component with respect to the primary support frame.",refine
US-8570878-B2,Packet decoding method and apparatus for digital broadcast system,"A method for packet decoding in a digital broadcast system, said method comprising:
acquiring a digital broadcast transport stream including a plurality of packets;
determining a packet type corresponding to each of said plurality of packets;
retrieving payload data from one or more identified packets based on its packet type;
conducting error detection or correction on the retrieved payload data;
decoding the error-corrected payload data to yield decoded information; and
presenting the decoded information.",refine
US-7947341-B2,Optical laminated body,"1. An optical laminated body comprising:
    a first optical layer exhibiting a first set of optical properties;
    a second optical layer exhibiting a second set of optical properties; and
    an optically transparent adhesive layer interposed between and coupling the first optical layer with the second optical layer,
    wherein the first optical layer, the second optical layer, and the optically transparent adhesive layer are collectively laminated to establish a unified body adapted to transmit or modify incident light.",refine
US-7808389-B2,Data transmission method and a RFID reader provided with a coil and a control circuit for field quenching outside of a communication area,"A data transmission method, comprising:
producing an electromagnetic field via a coil of an RFID reader;
ascertaining if an RFID tag is situated outside a communication area of the RFID reader;
deactivating the electromagnetic field responsive to a finding that the RFID tag is situated outside the communication area; and
exchanging data with an RFID tag while the RFID tag resides within the communication area.",refine
US-8365871-B2,Electronic device and method for monitoring an elevator,"An electronic device for monitoring an elevator, comprising:
at least one sensor configured to collect data reflecting an operating parameter of the elevator;
a processing unit operatively linked to the at least one sensor, the processing unit configured to process the collected data to ascertain an operational status of the elevator; and
a communication interface operatively linked to the processing unit, the communication interface configured to convey monitoring data derived from the ascertained operational status of the elevator.",refine
US-8314543-B2,White-light emitting device and preparation method and application of the same,"A white-light emitting device, comprising a primary light source adapted to emit radiation; and at least one phosphor material configured to absorb at least a portion of said radiation from the primary light source and re-emit light of a distinct wavelength; wherein the combined emission from the primary light source and the re-emitted light from the at least one phosphor material generates white light.",refine
US-6663704-B2,"Pearlescent inks, writing instruments, and methods","A pearlescent ink composition comprising:
a fluid carrier;
multiple pearlescent pigment particles suspended within the fluid carrier;
a colorant imparting a non-pearlescent hue to the composition;
a dispersant for facilitating the dispersion of said pearlescent pigment particles within the fluid carrier; and
wherein the pearlescent ink composition exhibits a viscosity appropriate for discharge through a writing nib of a writing instrument.",refine
US-7719516-B2,Actuator having an inputting function,"1. An actuator possessing an input capability, the actuator comprising:
a housing;
a motive element positioned within the housing and configured to generate mechanical output, said mechanical output comprising at least one of force and motion;
an output member mechanically coupled to the motive element and projecting from the housing, said output member configured to apply the mechanical output to an external environment; and
an input sensing arrangement interconnected with the output member, the input sensing arrangement configured to sense a physical interaction exerted on the output member and to generate an input signal based on the sensed physical interaction, wherein said input signal is usable to govern an operation of the actuator or a connected system.",refine
US-8293092-B2,Alkaline electroplating bath having a filtration membrane,"1. An electroplating system including:
an alkaline plating bath; and
a filter membrane in fluid communication with the alkaline plating bath.",refine
US-6989605-B2,"Electronic component and semiconductor device, method of fabricating the same, circuit board mounted with the same, and electronic appliance comprising the circuit board","1. An electronic component comprising:
    a semiconductor die with at least one active device fabricated within a semiconductor material;
    at least one electrical terminal electrically coupled to the at least one active device of the semiconductor die; and
    a package encapsulating the semiconductor die and at least a portion of the at least one electrical terminal, wherein the package defines an outer form factor adapted for mounting on a circuit board and for providing external electrical connections through the at least one electrical terminal.",refine
US-7163517-B2,Electro-stimulation feet acupuncture channel physiotherapy shoe,"An electro-stimulation therapeutic footwear device, comprising:
a footwear article adapted for wear on a user's foot, the footwear article having an inner surface and an outer surface;
a plurality of electrodes positioned on the inner surface of the footwear article, the electrodes strategically placed to target a plurality of acupuncture channels and/or points on the user's foot;
conductive elements electrically coupled to the plurality of electrodes;
an electrical stimulation unit electrically coupled to the conductive elements, the electrical stimulation unit operative to generate and deliver controlled electrical impulses to the plurality of electrodes; and
a power source electrically connected to the electrical stimulation unit, wherein at least a part of the electrical stimulation unit and the power source are incorporated within the footwear article or externally connectable thereto.",refine
US-7299376-B2,"Apparatus, system, and method for verifying backup data","A system for validating backup data, comprising:
a data storage interface configured to obtain backup data from a storage device;
a processor operatively connected to the data storage interface; and
a memory coupled to the processor, the memory embodying computer-executable instructions which, when executed by the processor, prompt the system to carry out operations comprising:
acquiring a specified set of backup data through the data storage interface;
performing a validation procedure on the acquired specified set of backup data to determine a validation status for the backup data; and
producing an output reflecting the determined validation status.",refine
US-7575525-B2,Golf club head,"A golf club head comprising:
a body including a front portion, a rear portion, a top portion, a bottom portion, a heel portion, and a toe portion;
a striking face located on the front portion of the body, said striking face defining an impact surface adapted to strike a golf ball;
a sole surface constituting the bottom portion of the body;
a hosel projecting from the body, said hosel adapted to receive an end of a golf club shaft; and
a weight distribution system disposed within the body and configured to adjust a center of gravity of the golf club head.",refine
US-9255259-B2,Targeted genomic modification with partially single-stranded donor molecules,"A method for targeted genomic modification of a target locus in a genome of a cell, the method comprising:
introducing into the cell a targeted nuclease configured to form a break at the target locus;
introducing into the cell a partially single-stranded donor molecule, said donor molecule comprising at least one single-stranded region and at least one double-stranded region, and further comprising a region homologous to the target locus and an intended modification; and
wherein the partially single-stranded donor molecule promotes homology-directed repair at the break, thereby integrating said intended modification into the genome of the cell.",refine
US-6794709-B2,Structure and method for dual gate oxide thicknesses,"A semiconductor device comprising:
a semiconductor substrate;
a first gate electrode positioned above a first region of the semiconductor substrate;
a second gate electrode positioned above a second region of the semiconductor substrate;
a first gate dielectric layer situated between the first gate electrode and the first region of the semiconductor substrate, and having a first thickness; and
a second gate dielectric layer situated between the second gate electrode and the second region of the semiconductor substrate, and having a second thickness, wherein the first thickness is distinct from the second thickness.",refine
US-8603608-B2,Graphene laminate and method of preparing the same,1. A graphene laminate including a plurality of graphene layers; wherein each graphene layer is composed of one to ten atomic layers of carbon atoms; and wherein the graphene layers are stacked one upon another such that adjacent graphene layers directly abut.,refine
US-7250606-B2,"Buried object evaluating method, underground resources evaluating method, underground waste evaluating method, underground preserved object evaluating method, stratum structure evaluating method and building interior monitoring method, all using hard X-rays or γ-rays","A method for assessing or tracking a target object or a target region within a subsurface environment or a building interior, the method comprising:
exposing the target object or target region to hard X-rays or γ-rays;
subsequently detecting hard X-rays or γ-rays that have interacted with the target object or target region;
and assessing or tracking characteristics of the target object or target region based on an analysis of the detected hard X-rays or γ-rays.",refine
US-7289950-B2,Extended finite state grammar for speech recognition systems,"A system for speech recognition, comprising:
a processor; and
a memory coupled to the processor, storing processor-executable instructions;
wherein the instructions, when executed by the processor, cause the system to:
    store an extended finite state grammar, said extended finite state grammar including:
        multiple states;
        a plurality of transitions between states, each transition linked to one or more grammar symbols; and
        at least one extension mechanism chosen from the group consisting of:
            a mechanism for associating a semantic action with a state or a corresponding transition;
            a mechanism for incorporating a contextual constraint that modifies subsequent valid transitions based on previously recognized speech tokens; and
            a mechanism for defining a dynamically selectable grammar component based on an external parameter or a prior recognition result;
    receive an acoustic input comprising speech; and
    process the acoustic input utilizing an acoustic model and the extended finite state grammar to identify a recognized word sequence.",refine
US-8051022-B2,Embedded programmable intelligent search memory (PRISM) that simultaneously performs regular expression based search and signature pattern based search,"1. An embedded programmable intelligent search memory (PRISM) apparatus, comprising:
   a memory storage element configured to store a plurality of data items;
   a search processing unit communicatively coupled to the memory storage element, configured to concurrently perform a regular expression search for at least one regular expression and a signature pattern search for at least one signature pattern across the plurality of data items;
   a programming interface configured to receive search parameters, the search parameters including the at least one regular expression and the at least one signature pattern; and
   a control logic unit coupled to the programming interface and the search processing unit, adapted to program the search processing unit utilizing the received search parameters for the concurrent searches.",refine
US-8282551-B2,"Ultrasonic diagnostic apparatus, data analysis method, and data analysis program","An ultrasonic diagnostic apparatus, comprising:
    an ultrasonic transducer configured to transmit ultrasonic waves into a subject and detect reflected ultrasonic echoes from the subject;
    a data acquisition unit communicatively coupled to the ultrasonic transducer, configured to convert the detected ultrasonic echoes into raw ultrasonic data;
    a processor communicatively coupled to the data acquisition unit, configured to:
        process said raw ultrasonic data to produce diagnostic image data; and
        analyze said diagnostic image data to derive diagnostic information pertaining to a subject's medical condition based on a predetermined analysis algorithm; and
    an output unit communicatively coupled to the processor, configured to display said diagnostic information to a user.",refine
US-7066853-B2,Method for manufacturing an inflatable ball and a ball made with the method,"A method for producing an inflatable ball, comprising the steps of:
forming an inflatable bladder adapted to hold a gas;
forming an outer cover designed to enclose the inflatable bladder;
inserting the inflatable bladder within the outer cover;
securing the outer cover so as to encapsulate the inflatable bladder; and
incorporating an inflation valve in fluid communication with the inflatable bladder, said inflation valve being externally accessible from the outer cover.",refine
US-8083393-B2,Substantially inseparable LED lamp assembly,"An LED lamp assembly comprising:
a light emitting diode (LED) package;
a heat sink in thermal communication with the LED package;
an optical element arranged to receive light emitted from the LED package;
a housing containing the LED package, the heat sink, and at least a portion of the optical element;
driver circuitry electrically coupled to the LED package for managing power thereto;
an electrical base adapted for electrical connection of the LED lamp assembly to an external power source;
wherein the heat sink is permanently affixed to the housing, such that separation of the heat sink from the housing necessitates permanent deformation or destruction of at least one of the heat sink or the housing;
wherein the optical element is permanently affixed to the housing, such that separation of the optical element from the housing necessitates permanent deformation or destruction of at least one of the optical element or the housing; and
wherein the electrical base is permanently affixed to the housing, such that separation of the electrical base from the housing necessitates permanent deformation or destruction of at least one of the electrical base or the housing.",refine
US-6683841-B2,Anti-fluttering transmission apparatus for CD-RW drive head,"An actuation assembly for a CD-RW drive head, adapted to prevent head fluttering, comprising:
a guide rail for guiding the CD-RW drive head;
a mobile carriage arranged to support the CD-RW drive head, said carriage being displaceable along said guide rail;
a drive mechanism coupled to said carriage for displacing said carriage along said guide rail; and
a damping assembly interactively engaged with said carriage and said guide rail, said damping assembly adapted to apply a controlled force to mitigate vibrations and maintain stable movement of said carriage along said guide rail during operation of the CD-RW drive head.",refine
US-8751433-B2,Efficient probabilistic reasoning over semantic data,"A system for effective probabilistic reasoning over semantic data, comprising:
a data ingestion module configured to acquire semantic data, said semantic data comprising a plurality of entities, relationships, and attributes represented in a structured knowledge graph;
a probabilistic model generation module configured to build a probabilistic model based on the acquired semantic data, said probabilistic model capturing uncertain relationships and properties within the knowledge graph;
a probabilistic inference engine coupled to the probabilistic model generation module, configured to execute probabilistic reasoning upon the constructed probabilistic model to derive probabilistic conclusions concerning the semantic data; and
an efficiency optimization module coupled to the probabilistic inference engine, configured to adaptively employ at least one optimization technique during the probabilistic reasoning, said optimization technique leveraging structural properties and semantic constraints of the knowledge graph to minimize computational resource utilization and inference time for generating the probabilistic conclusions.",refine
US-8544998-B2,Solid inks containing ketone waxes and branched amides,1. A solid ink composition comprising one or more colorants; at least one ketone wax; and one or more branched amides.,refine
US-8348612-B2,Turbine blade tip shroud,"A turbine blade tip shroud, comprising:
a main body;
an attachment feature adapted to secure said main body to a turbine blade tip;
an outer platform surface projecting from said main body; and
a sealing feature protruding from said outer platform surface.",refine
US-6999954-B2,Modular instruction using cognitive constructs,"A method comprising:
    identifying a collection of cognitive constructs pertinent to achieving a learning objective;
    creating a multiplicity of instructional modules, each module configured to address and cultivate one or more of the identified cognitive constructs;
    delivering the multiplicity of instructional modules to a learner; and
    promoting learning by the learner via interaction with the instructional modules.",refine
US-7677229-B2,Adaptive oil separator,"An adaptive oil separator comprising:
a housing enclosing a separation chamber;
an inlet arranged to supply an oil-fluid mixture into the separation chamber;
a first outlet for discharging separated oil from the separation chamber;
a second outlet for discharging separated fluid from the separation chamber;
a separation mechanism disposed within the separation chamber, said mechanism configured to enable separation of oil from the fluid; and
a control system communicatively coupled to at least one sensor and at least one actuator, wherein the at least one sensor is configured to sense a characteristic pertaining to the oil-fluid mixture or a separation condition within the separation chamber, and wherein the control system is configured to analyze data from the at least one sensor and responsively adjust an operational parameter of the separation mechanism or a fluid pathway within the separation chamber via the at least one actuator to adaptively control separation performance.",refine
US-7887685-B2,Multilayer gas sensor having dual heating zones,"A multilayer gas sensor comprising:
a substrate layer;
a gas sensing layer situated on the substrate layer;
at least two electrodes electrically coupled to the gas sensing layer;
a first heating zone comprising a first resistive heating element for generating heat;
a second heating zone comprising a second resistive heating element for generating heat;
at least one dielectric layer interposed between at least one of the first heating element and the second heating element and the gas sensing layer; and
wherein the first resistive heating element and the second resistive heating element are independently operable to warm distinct areas of the gas sensing layer, and wherein said substrate layer, said gas sensing layer, said at least two electrodes, said first heating zone, said second heating zone, and said at least one dielectric layer are vertically stacked to form a multilayer structure.",refine
US-6559443-B2,Ionization apparatus and ionization method for mass spectrometry,"An ionization apparatus for mass spectrometry, comprising:
a sample inlet adapted to receive a sample;
an ionization region fluidically coupled to the sample inlet, wherein the sample inlet introduces the received sample into said ionization region;
an ionization source positioned to generate an ionizing agent within the ionization region, wherein said ionizing agent interacts with the introduced sample, thereby producing ions;
an ion extraction assembly adapted to extract the produced ions from the ionization region; and
an ion transfer pathway adapted to direct the extracted ions from the ionization region to an inlet of a mass spectrometer.",refine
US-6861766-B2,Hydro-electric generating system,"1. A hydro-electric generating system, comprising:
a water intake assembly configured to capture water from a water source;
a conduit fluidly connected to the water intake assembly, said conduit for directing pressurized water flow;
a turbine rotatably positioned to receive said pressurized water flow from the conduit, said turbine adapted to convert hydraulic energy into mechanical rotational energy;
an electrical generator mechanically linked to said turbine, said electrical generator configured to convert said mechanical rotational energy into electrical energy; and
a power transmission unit electrically connected to said electrical generator, said power transmission unit configured to output said electrical energy.",refine
US-8847941-B2,Display device and display control device,"1. A display device comprising:
a display panel configured to render visual content;
an input module configured to obtain input data, said input data pertaining to at least one of content, user interaction, or environmental conditions; and
a display control unit in communication with the display panel and the input module, said display control unit arranged to generate display signals for the display panel responsive to the obtained input data and further arranged to dynamically modify at least one operational parameter of the display panel, wherein said at least one operational parameter is selected from the group consisting of brightness, contrast, refresh rate, and color temperature, and wherein said dynamic modification is predicated on a contextual analysis of the input data.",refine
US-8686669-B2,Method and apparatus for controlling a linear motion system,"1. An apparatus for managing a linear motion system, comprising:
    a linear actuator configured to apply linear motion to a movable element;
    at least one sensor configured to measure a physical characteristic of the movable element selected from position, velocity, and acceleration, and to generate a feedback signal indicative of the measured physical characteristic;
    a controller operatively coupled to the at least one sensor and the linear actuator, wherein the controller is configured to receive the feedback signal, to compare the feedback signal with a predefined target profile, to derive a control command from a deviation between the feedback signal and the predefined target profile, and to issue the control command to the linear actuator for modifying the linear motion of the movable element, consequently enabling the linear motion system to perform in accordance with the predefined target profile.",refine
US-9045950-B2,Laser alignment device for use with a drill rig,"1. An apparatus for facilitating laser alignment for a drill rig, comprising:
a housing adapted for detachable mounting to a drill rig;
a laser emitter positioned within the housing, the laser emitter arranged to generate and project a laser beam along a longitudinal axis;
whereby the projected laser beam serves to indicate an alignment direction for a drill bit on the drill rig;
and an adjustment mechanism mechanically coupled to the laser emitter, the adjustment mechanism adapted to selectively adjust the orientation of the longitudinal axis of the projected laser beam relative to the drill rig.",refine
US-8859936-B2,Method of controlling welding,"1. A method of controlling welding, comprising:
    determining a set of desired welding parameters for a welding operation;
    monitoring at least one actual welding parameter during the welding operation;
    comparing the at least one actual welding parameter against a corresponding desired welding parameter from the set of desired welding parameters; and
    modifying at least one welding input in response to the comparison to maintain the at least one actual welding parameter within a predetermined tolerance of the corresponding desired welding parameter.",refine
US-9080554-B2,"Floating, anchored installation for energy production","1. A moored, buoyant structure for power generation, comprising:
    a buoyant platform adapted to float upon a body of water;
    an anchoring system connected to the buoyant platform and adapted to anchor it to an ocean floor; and
    a power generation system supported by said buoyant platform and arranged to produce energy.",refine
US-9283976-B2,Restraining belt for children in a shopping cart,"1. A child restraining belt for a shopping cart, comprising:
   a pliable strap component adapted to encompass a child's torso;
   a closure mechanism configured to adjustably fasten the pliable strap component around the child; and
   at least one securing member coupled to the pliable strap component, said at least one securing member adapted to detachably engage a structural element of a shopping cart, thus retaining the child within the shopping cart.",refine
US-8821828-B2,Method for generating nitric oxide,"1. A method for producing nitric oxide, comprising supplying a reaction mixture containing a nitrogen-containing compound and an oxygen-containing compound; and exposing the reaction mixture to conditions effective to produce nitric oxide.",refine
US-9432818-B2,Controlling communication devices,"A method for controlling communication devices, comprising:
receiving a control input pertaining to at least one communication device;
identifying a target communication device based on the control input;
ascertaining at least one control action for performance by the target communication device, based on the control input;
creating at least one control signal in accordance with the at least one control action; and
sending the at least one control signal to the target communication device to cause execution of the at least one control action.",refine
